STOP_NAME,STOP_ID,STOP_LAT,STOP_LON
S Lichtenrade (Berlin),900000074201,52.387676000000,13.396234000000
S Schichauweg (Berlin),900000074202,52.398563000000,13.389457000000
S Sonnenallee (Berlin),900000077106,52.473843000000,13.455986000000
S Koellnische Heide (Berlin),900000077155,52.469168000000,13.467529000000
U Hermannplatz (Berlin),900000078101,52.486957000000,13.424720000000
U Rathaus Neukoelln (Berlin),900000078102,52.481146000000,13.434807000000
U Karl-Marx-Str. (Berlin),900000078103,52.476429000000,13.439805000000
S+U Neukoelln (Berlin),900000078201,52.469282000000,13.443692000000
U Leinestr. (Berlin),900000079201,52.472874000000,13.428400000000
U Boddinstr. (Berlin),900000079202,52.479745000000,13.425782000000
S+U Hermannstr. (Berlin),900000079221,52.467181000000,13.431704000000
U Blaschkoallee (Berlin),900000080201,52.452743000000,13.448976000000
U Grenzallee (Berlin),900000080202,52.463516000000,13.444828000000
U Grenzallee/Jahnstr. (Berlin),900000080204,52.461654000000,13.445664000000
U Parchimer Allee (Berlin),900000080401,52.445299000000,13.449967000000
U Britz-Sued (Berlin),900000080402,52.437076000000,13.447668000000
U Lipschitzallee (Berlin),900000082201,52.424645000000,13.463109000000
U Johannisthaler Chaussee (Berlin),900000082202,52.429253000000,13.453851000000
U Zwickauer Damm (Berlin),900000083101,52.423032000000,13.484371000000
U Wutzkyallee (Berlin),900000083102,52.423152000000,13.474820000000
U Rudow (Berlin),900000083201,52.415714000000,13.496527000000
S Wilhelmsruh (Berlin),900000084101,52.581588000000,13.363284000000
U Paracelsus-Bad (Berlin),900000085104,52.574534000000,13.347532000000
S Alt-Reinickendorf (Berlin),900000085105,52.577969000000,13.349747000000
U Paracelsus-Bad/Aroser Allee (Berlin),900000085108,52.574002000000,13.350806000000
S Schoenholz (Berlin),900000085201,52.571901000000,13.380242000000
U Franz-Neumann-Platz (Berlin),900000085202,52.563854000000,13.364283000000
U Residenzstr. (Berlin),900000085203,52.570843000000,13.360635000000
U Otisstr. (Berlin),900000086101,52.571122000000,13.303074000000
U Kurt-Schumacher-Platz (Berlin),900000086102,52.563483000000,13.327328000000
U Lindauer Allee (Berlin),900000086160,52.575394000000,13.339047000000
U Scharnweberstr. (Berlin),900000087101,52.567111000000,13.311524000000
U Holzhauser Str. (Berlin),900000088201,52.576252000000,13.295083000000
U Borsigwerke (Berlin),900000088202,52.582139000000,13.290122000000
U Alt-Tegel (Berlin),900000089301,52.589649000000,13.283821000000
S Tegel (Berlin),900000089303,52.588805000000,13.288695000000
S Heiligensee (Berlin),900000091203,52.625148000000,13.228667000000
S Schulzendorf (Berlin),900000091205,52.613513000000,13.245630000000
S Frohnau (Berlin),900000092201,52.632958000000,13.289564000000
S Hermsdorf (Berlin),900000093201,52.618165000000,13.306804000000
S Waidmannslust (Berlin),900000094101,52.606814000000,13.320549000000
S+U Wittenau (Berlin),900000096101,52.596392000000,13.335481000000
S Eichborndamm (Berlin),900000096405,52.577545000000,13.315583000000
U Wittenau (Berlin) [Bus],900000096407,52.595509000000,13.333300000000
U Rathaus Reinickendorf (Berlin),900000096410,52.588218000000,13.325568000000
S+U Karl-Bonhoeffer-Nervenklinik (Berlin),900000096458,52.578169000000,13.332921000000
S+U Friedrichstr. Bhf (Berlin),900000100001,52.520270000000,13.387153000000
S Hackescher Markt (Berlin),900000100002,52.522607000000,13.402358000000
S+U Alexanderplatz Bhf (Berlin),900000100003,52.521512000000,13.411267000000
S+U Jannowitzbruecke (Berlin),900000100004,52.515500000000,13.418027000000
S Oranienburger Str. (Berlin),900000100007,52.525161000000,13.393068000000
U Heinrich-Heine-Str. (Berlin),900000100008,52.510858000000,13.416169000000
U Naturkundemuseum (Berlin),900000100009,52.531254000000,13.382415000000
U Mohrenstr. (Berlin),900000100010,52.511519000000,13.383798000000
U Stadtmitte (Berlin),900000100011,52.511495000000,13.389719000000
U Hausvogteiplatz (Berlin),900000100012,52.513361000000,13.395346000000
U Spittelmarkt (Berlin),900000100013,52.511301000000,13.402352000000
U Maerkisches Museum (Berlin),900000100014,52.512007000000,13.408767000000
U Klosterstr. (Berlin),900000100015,52.517229000000,13.412455000000
U Rosa-Luxemburg-Platz (Berlin),900000100016,52.528191000000,13.410405000000
U Schillingstr. (Berlin),900000100017,52.520316000000,13.421895000000
U Oranienburger Tor (Berlin),900000100019,52.525163000000,13.387587000000
S+U Potsdamer Platz Bhf (Berlin),900000100020,52.509340000000,13.376454000000
U Rosenthaler Platz (Berlin),900000100023,52.529781000000,13.401393000000
S+U Brandenburger Tor (Berlin),900000100025,52.516511000000,13.381937000000
U Franzoesische Str. (Berlin),900000100027,52.514770000000,13.389208000000
U Weinmeisterstr. (Berlin),900000100051,52.525376000000,13.405305000000
U Weinmeisterstr./Gipsstr. (Berlin),900000100080,52.525487000000,13.403526000000
U Schwartzkopffstr. (Berlin),900000100501,52.535397000000,13.377033000000
U Stadtmitte/Leipziger Str. (Berlin),900000100528,52.510324000000,13.389918000000
S+U Schoenhauser Allee (Berlin),900000110001,52.549336000000,13.415138000000
S Prenzlauer Allee (Berlin),900000110002,52.544802000000,13.427419000000
S Greifswalder Str. (Berlin),900000110003,52.540724000000,13.438356000000
S Landsberger Allee (Berlin),900000110004,52.528772000000,13.455944000000
U Senefelderplatz (Berlin),900000110005,52.532622000000,13.412625000000
U Eberswalder Str. (Berlin),900000110006,52.541022000000,13.412154000000
U Eberswalder Str./Pappelallee (Berlin),900000110009,52.541498000000,13.412833000000
S Bornholmer Str. (Berlin),900000110011,52.554763000000,13.397841000000
S Storkower Str. (Berlin),900000110012,52.524195000000,13.464884000000
S+U Frankfurter Allee (Berlin),900000120001,52.513613000000,13.475300000000
S Ostkreuz Bhf (Berlin),900000120003,52.502851000000,13.469093000000
S+U Warschauer Str. (Berlin),900000120004,52.505765000000,13.449159000000
S Ostbahnhof (Berlin),900000120005,52.510001000000,13.435747000000
U Strausberger Platz (Berlin),900000120006,52.518025000000,13.432208000000
U Frankfurter Tor (Berlin),900000120008,52.515772000000,13.454085000000
U Samariterstr. (Berlin),900000120009,52.514662000000,13.465347000000
U Weberwiese (Berlin),900000120025,52.516848000000,13.443278000000
S Pankow-Heinersdorf (Berlin),900000130001,52.577603000000,13.429090000000
S+U Pankow (Berlin),900000130002,52.567281000000,13.412279000000
S Wollankstr. (Berlin),900000130003,52.564974000000,13.393150000000
U Vinetastr. (Berlin),900000130011,52.559517000000,13.413770000000
S Buch (Berlin),900000135001,52.636614000000,13.492452000000
S Blankenburg (Berlin),900000142001,52.591069000000,13.442972000000
S Karow Bhf (Berlin),900000143001,52.615755000000,13.470081000000
S Wartenberg (Berlin),900000151001,52.573266000000,13.504238000000
S Hohenschoenhausen Bhf (Berlin),900000152001,52.566549000000,13.513698000000
S Gehrenseestr. (Berlin),900000152002,52.555736000000,13.525653000000
S Rummelsburg (Berlin),900000160001,52.501213000000,13.478699000000
S Betriebsbahnhof Rummelsburg (Berlin),900000160002,52.493957000000,13.497509000000
S Noeldnerplatz (Berlin),900000160003,52.503444000000,13.484297000000
U Magdalenenstr. (Berlin),900000160005,52.512214000000,13.489439000000
S+U Lichtenberg Bhf/Siegfriedstr. (Berlin),900000160020,52.512315000000,13.497750000000
S+U Lichtenberg Bhf/Gudrunstr. (Berlin),900000160021,52.512367000000,13.500065000000
S Noeldnerplatz/Schlichtallee (Berlin),900000160534,52.502274000000,13.485141000000
U Tierpark (Berlin),900000161002,52.497236000000,13.523626000000
U Friedrichsfelde (Berlin),900000161512,52.505464000000,13.513544000000
S Karlshorst (Berlin),900000162001,52.481038000000,13.525981000000
S Karlshorst /Wandlitzstr. (Berlin),900000162501,52.479568000000,13.524914000000
S Marzahn (Berlin),900000170001,52.543272000000,13.541524000000
S Raoul-Wallenberg-Str. (Berlin),900000170002,52.550749000000,13.548392000000
S Mehrower Allee (Berlin),900000170003,52.557816000000,13.554392000000
S Ahrensfelde Bhf (Berlin),900000170004,52.571564000000,13.566118000000
S Poelchaustr. (Berlin),900000170005,52.534751000000,13.536008000000
S Biesdorf (Berlin),900000171001,52.513059000000,13.555035000000
S Friedrichsfelde Ost (Berlin),900000171002,52.513747000000,13.520043000000
S Springpfuhl (Berlin),900000171003,52.525806000000,13.536904000000
U Biesdorf-Sued (Berlin),900000171005,52.499517000000,13.547326000000
U Elsterwerdaer Platz (Berlin),900000171006,52.504643000000,13.560762000000
S+U Wuhletal (Berlin),900000175001,52.512724000000,13.574536000000
S Kaulsdorf (Berlin),900000175002,52.512122000000,13.589030000000
U Kaulsdorf-Nord (Berlin),900000175004,52.521436000000,13.588763000000
U Kienberg (Gaerten der Welt) (Berlin),900000175005,52.528490000000,13.590550000000
U Cottbusser Platz (Berlin),900000175006,52.533963000000,13.596894000000
U Hellersdorf (Berlin),900000175007,52.535946000000,13.605794000000
U Hoenow (Berlin),900000175010,52.538105000000,13.634541000000
U Louis-Lewin-Str. (Berlin),900000175015,52.539135000000,13.619707000000
S Mahlsdorf Bhf (Berlin),900000176001,52.512118000000,13.611230000000
S Koepenick (Berlin),900000180001,52.458692000000,13.579543000000
S Wuhlheide (Berlin),900000180002,52.469058000000,13.553527000000
S Spindlersfeld (Berlin),900000180003,52.445938000000,13.562701000000
S Hirschgarten (Berlin),900000182001,52.457903000000,13.601480000000
S Friedrichshagen (Berlin),900000182002,52.457090000000,13.625462000000
S Rahnsdorf (Berlin),900000183001,52.451371000000,13.691655000000
S Wilhelmshagen (Berlin),900000183002,52.438571000000,13.721004000000
S Gruenau (Berlin),900000186001,52.412714000000,13.574018000000
S Treptower Park (Berlin),900000190001,52.493022000000,13.460887000000
S Baumschulenweg (Berlin),900000191001,52.467581000000,13.489505000000
S Plaenterwald (Berlin),900000191002,52.478722000000,13.474029000000
S Schoeneweide Bhf (Berlin),900000192001,52.454611000000,13.510149000000
S Oberspree (Berlin),900000192002,52.452269000000,13.538461000000
S Betriebsbahnhof Schoeneweide (Berlin),900000193001,52.446695000000,13.524028000000
S Adlershof (Berlin),900000193002,52.435102000000,13.540553000000
S Schoeneweide/Sterndamm (Berlin),900000194006,52.453921000000,13.509993000000
S Altglienicke (Berlin),900000195510,52.407791000000,13.559602000000
S Gruenbergallee (Berlin),900000196001,52.399539000000,13.543222000000
S Hennigsdorf (Berlin),900000200000,52.637867000000,13.205874000000
