STOP_NAME;STOP_LAT;STOP_LON;COORDINATE
S+U Neukoelln (Berlin);52.469282000000;13.443692000000;0101000000FD4CBD6E113C4A4061FE0A992BE32A40
S+U Pankow (Berlin);52.567281000000;13.412279000000;01010000003352EFA99C484A40B9A7AB3B16D32A40
S+U Potsdamer Platz Bhf (Berlin);52.509340000000;13.376454000000;0101000000B745990D32414A4093E52494BEC02A40
S+U Rathaus Spandau (Berlin);52.535798000000;13.199891000000;010100000090A1630795444A408B87F71C58662A40
S+U Rathaus Steglitz (Berlin);52.455066000000;13.322152000000;0101000000C2C2499A3F3A4A4097AE601BF1A42A40
S+U Rathaus Steglitz/Kreisel (Berlin);52.455889000000;13.320852000000;010100000096CD1C925A3A4A405FB69DB646A42A40
S+U Schoenhauser Allee (Berlin);52.549336000000;13.415138000000;0101000000FA415DA450464A4059A7CAF78CD42A40
S+U Tempelhof (Berlin);52.470694000000;13.385754000000;0101000000333674B33F3C4A40359A5C8C81C52A40
S+U Warschauer Str. (Berlin);52.505765000000;13.449159000000;0101000000103B53E8BC404A407B681F2BF8E52A40
S+U Wedding (Berlin);52.542732000000;13.366060000000;0101000000103FFF3D78454A405DBF60376CBB2A40
S+U Westhafen (Berlin);52.536183000000;13.343837000000;0101000000E9D500A5A1444A403C4F3C670BB02A40
S+U Wittenau (Berlin);52.596392000000;13.335481000000;01010000004BCCB392564C4A40D7DB662AC4AB2A40
S+U Wuhletal (Berlin);52.512724000000;13.574536000000;0101000000E9EFA5F0A0414A40D3BF249529262B40
S+U Yorckstr. (Berlin);52.492766000000;13.370429000000;0101000000564ACFF4123F4A40DFFAB0DEA8BD2A40
S+U Zoologischer Garten Bhf (Berlin);52.506921000000;13.332707000000;0101000000EB538EC9E2404A40F04C689258AA2A40
U Adenauerplatz (Berlin);52.500086000000;13.307348000000;0101000000FF976BD102404A4065FB90B75C9D2A40
U Afrikanische Str. (Berlin);52.560862000000;13.333502000000;0101000000DAC87553CA474A401A4D2EC6C0AA2A40
U Alt-Mariendorf (Berlin);52.439641000000;13.387456000000;0101000000897D022846384A40284701A260C62A40
U Alt-Tegel (Berlin);52.589649000000;13.283821000000;01010000003F8F519E794B4A4006D671FC50912A40
U Alt-Tempelhof (Berlin);52.465930000000;13.385796000000;0101000000D61C2098A33B4A40F0DAA50D87C52A40
U Altstadt Spandau (Berlin);52.539161000000;13.206763000000;0101000000AB23473A03454A40B30B06D7DC692A40
U Amrumer Str. (Berlin);52.542202000000;13.349534000000;0101000000B4E908E066454A401DAED51EF6B22A40
U Augsburger Str. (Berlin);52.500557000000;13.336771000000;01010000005664744012404A40817B9E3F6DAC2A40
U Bayerischer Platz (Berlin);52.488654000000;13.340237000000;0101000000A087DA368C3E4A403FC7478B33AE2A40
U Berliner Str. (Berlin);52.487047000000;13.331355000000;0101000000B54E5C8E573E4A406FBBD05CA7A92A40
U Bernauer Str. (Berlin);52.537994000000;13.396231000000;0101000000DCB8C5FCDC444A40A05225CADECA2A40
U Biesdorf-Sued (Berlin);52.499517000000;13.547326000000;0101000000E4654D2CF03F4A4041800C1D3B182B40
U Birkenstr. (Berlin);52.532229000000;13.341417000000;0101000000CC7D721420444A40CC988235CEAE2A40
U Bismarckstr. (Berlin);52.511543000000;13.305335000000;0101000000B6BFB33D7A414A40F8A57EDE549C2A40
U Blaschkoallee (Berlin);52.452743000000;13.448976000000;0101000000183F8D7BF3394A40B760A92EE0E52A40
U Blissestr. (Berlin);52.486478000000;13.320545000000;01010000009B1C3EE9443E4A40EACA67791EA42A40
U Blissestr./Uhlandstr. (Berlin);52.486478000000;13.322487000000;01010000009B1C3EE9443E4A4033C51C041DA52A40
U Boddinstr. (Berlin);52.479745000000;13.425782000000;0101000000B3B5BE48683D4A4071732A1900DA2A40
U Borsigwerke (Berlin);52.582139000000;13.290122000000;0101000000F25CDF87834A4A4042B3EBDE8A942A40
U Breitenbachplatz (Berlin);52.467342000000;13.309276000000;01010000000C06D7DCD13B4A401AE0826C599E2A40
U Britz-Sued (Berlin);52.437076000000;13.447668000000;0101000000E9EE3A1BF2374A4074EE76BD34E52A40
U Bundestag (Berlin);52.519908000000;13.373454000000;0101000000E27668588C424A40EB1ED95C35BF2A40
U Buelowstr. (Berlin);52.497627000000;13.362456000000;0101000000A54DD53DB23F4A405B7A34D593B92A40
